Tema;Enunciado;Num_de_alternativas;Resposta_correta;Resposta_incorreta
Fundamentos da Simulação Realística;O que é simulação realística na área da saúde?;2;Simulação realística é uma metodologia ativa que reproduz situações clínicas em ambiente seguro e controlado.;Trata-se de uma prática terapêutica alternativa, sem finalidade educacional estruturada na área da saúde.
Estrutura, Organização e Recursos (CEBS);O que é o Centro de Ensino Baseado em Simulação?;2;É um espaço dedicado à educação em saúde que utiliza metodologias de aprendizagem experiencial, especialmente por meio da simulação clínica.;É um espaço destinado exclusivamente ao armazenamento de equipamentos, sem função pedagógica definida.
Fundamentos da Simulação Realística;O que caracteriza um cenário de alta fidelidade?;2;A capacidade de produzir um cenário mais próximo do real, com debriefing estruturado, fidelidade física e ambiental, etc.;Um cenário de alta fidelidade caracteriza-se pela ausência de realismo e de interação com o participante.
Estrutura, Organização e Recursos (CEBS);O que um espaço físico como o CEBS deve promover?;2;Ele deve traduzir o projeto educacional/formativo em experiências de aprendizagem seguras, imersivas e significativas.;O espaço físico deve ser improvisado e não necessita favorecer conforto ou organização.
Fundamentos da Simulação Realística;Quais são os princípios básicos da simulação realística?;2;Baseia-se em realismo, participação ativa, reflexão e feedback.;A simulação realística não possui princípios estruturantes ou base metodológica.
Estrutura, Organização e Recursos (CEBS);Qual a influência do ambiente físico de um CEBS para a simulação?;2;O ambiente físico afeta diretamente o realismo dos cenários, a segurança emocional dos participantes e a efetividade dos processos de ensino-aprendizagem.;O ambiente físico não exerce qualquer influência sobre o processo de aprendizagem.
Fundamentos da Simulação Realística;Quais são os componentes de um cenário simulado?;2;Objetivos de aprendizagem, descrição do cenário/caso, fidelidade/realismo, feedback e avaliação.;Um cenário simulado não requer organização prévia nem definição de elementos.
Estrutura, Organização e Recursos (CEBS);O que pode ser simulado no CEBS?;2;Parada cardiorrespiratória, choque, quedas e falhas de comunicação.;Não é possível simular situações clínicas nesse tipo de centro.
Fundamentos da Simulação Realística;Quais são os três componentes fundamentais na fidelidade da simulação realística?;2;Fidelidade física, psicológica e conceitual/funcional.;A fidelidade não depende de componentes específicos ou estruturados.
Estrutura, Organização e Recursos (CEBS);Pode-se utilizar medicamentos simulados para simulação realística?;2;Sim, com etiqueta indicando "uso exclusivo para simulação ou treinamento".;O uso de medicamentos simulados não é permitido em nenhuma circunstância.
Fundamentos da Simulação Realística;O que caracteriza a fidelidade física na simulação realística?;2;A fidelidade física refere-se à similaridade perceptiva com o ambiente real, como sons, luz, equipamentos e manequins.;A fidelidade física não considera aspectos visuais ou estruturais do ambiente.
Estrutura, Organização e Recursos (CEBS);Pode-se utilizar equipamentos de proteção individual na simulação?;2;Sim, são usados tanto na assistência quanto na simulação.;Equipamentos de proteção individual não devem ser utilizados em simulação.
Fundamentos da Simulação Realística;O que caracteriza a fidelidade psicológica na simulação realística?;2;Está ligada ao envolvimento emocional e à imersão do participante no cenário.;A fidelidade psicológica não envolve emoções ou engajamento do participante.
Estrutura, Organização e Recursos (CEBS);Equipamentos como bombas de infusão, desfibriladores e macas podem ser usados na simulação?;2;Sim, são recomendados para compor os cenários de simulação.;Equipamentos hospitalares não podem ser utilizados em cenários simulados.
Fundamentos da Simulação Realística;O que caracteriza a fidelidade conceitual/funcional na simulação realística?;2;Ela garante que as ações dentro da simulação façam sentido lógico, provocando respostas compatíveis com situações reais.;A fidelidade funcional não depende de coerência clínica ou lógica de resposta.
Equipe do CEBS;A equipe técnica de um Centro de Simulação pode ser composta por dois níveis de atuação complementar. Quais são?;2;Por profissionais de nível técnico e de nível superior.;A equipe deve ser composta por apenas um profissional, sem divisão de funções.
Fundamentos da Simulação Realística;Quais são os principais componentes que sustentam a fidelidade?;2;A infraestrutura física adequada, a ambientação coerente com os objetivos do cenário, a seleção e manutenção dos recursos tecnológicos e a atuação sinérgica das equipes técnica e educacional.;Não existem fatores que sustentem ou influenciem a fidelidade da simulação.
Equipe do CEBS;No CEBS, o profissional de nível técnico pode receber o nome de técnico em simulação?;2;Sim, é conhecido internacionalmente como Técnico em Simulação.;Não há denominação específica para profissionais técnicos na simulação.
Fundamentos da Simulação Realística;O que é o contrato de ficção na simulação?;2;É um acordo implícito entre participantes e facilitadores para aceitar o cenário como plausível.;O contrato de ficção é um acordo financeiro entre instituição e aluno.
Fundamentos da Simulação Realística;A simulação pode substituir práticas clínicas reais?;2;A simulação clínica complementa a prática, servindo como etapa intermediária segura para treinar procedimentos e decisões, sem substituir a experiência com pacientes reais.;A simulação substitui completamente a prática clínica real.
Equipe do CEBS;No CEBS pode haver um assistente administrativo?;2;Sim, e apoia a gestão organizacional e logística do CEBS.;Não é permitido incluir funções administrativas nesse ambiente.
Fundamentos da Simulação Realística;Quais são as limitações da simulação realística?;2;Alto custo, exigência de infraestrutura especializada, limitação no realismo emocional e risco de baixa adesão dos participantes ao cenário.;A simulação não apresenta limitações de nenhum tipo.
Equipe do CEBS;Qual o papel de um analista de simulação do CEBS?;2;Desenvolve e revisa cenários, supervisiona a equipe técnica e padroniza processos.;O analista de simulação não possui atribuições definidas.
Elementos técnicos do CEBS;O que é a tela de debriefing/observação?;2;Um espaço de projeção das gravações e transmissões em tempo real.;A tela de debriefing é apenas um recurso decorativo.
Equipe do CEBS;Qual a função do coordenador do CEBS?;2;Supervisionar e apoiar o trabalho da equipe técnica, administrativa e de facilitadores.;O coordenador não desempenha funções relevantes.
Elementos técnicos do CEBS;O que é a cenografia na simulação?;2;A cenografia envolve a configuração do ambiente com o objetivo de refletir ao máximo o cenário clínico real.;A cenografia não faz parte da simulação.
Equipe do CEBS;No CEBS, quais são as atribuições do assistente administrativo?;2;Organizar e manter arquivos físicos e digitais, elaborando relatórios quando necessário.;O assistente administrativo não possui funções específicas.
Equipe do CEBS;No CEBS, quais são as atribuições do assistente administrativo?;2;Controlar crachás, lista de presença, registro de visitantes e recebimento de materiais.;O assistente administrativo não exerce nenhuma atividade relevante.
Elementos técnicos do CEBS;Fazem parte dos objetos de cena em simulação?;2;Documentos simulados, como receituários, prontuários, frascos rotulados e móveis improvisados.;Não são utilizados objetos de cena em simulação.
Processo de Ensino-Aprendizagem na Simulação;Como a simulação garante um ambiente seguro para aprendizagem?;2;A simulação proporciona um ambiente seguro ao reproduzir cenários reais de forma controlada, permitindo treinar habilidades, tomar decisões e errar sem causar danos.;A simulação não promove segurança no aprendizado.
Elementos técnicos do CEBS;O que é moulage?;2;É a técnica utilizada para reproduzir de forma realista lesões, feridas, sinais clínicos visuais e alterações anatômicas.;Moulage é um equipamento eletrônico utilizado na simulação.
